id,teamname,offpass,offrush,offtotyds,defpass,defrush,deftotyds,pf,pa
2,Detroit Lions,320.00,201.00,521.00,299.00,182.00,481.00,31.00,45.00
18,Baltimore Ravens,202.50,237.50,440.00,188.50,88.00,276.50,26.50,20.50
34,Washington Commanders,272.67,121.00,393.67,244.33,177.00,421.33,30.33,35.33
22,Houston Texans,224.00,158.50,382.50,186.50,50.00,236.50,23.00,17.50
9,Buffalo Bills,204.67,168.00,372.67,206.00,130.00,336.00,29.00,21.33
1,Philadelphia Eagles,156.50,204.50,361.00,240.75,91.50,332.25,36.25,19.25
76,Los Angeles Rams,246.50,100.50,347.00,114.00,195.50,309.50,24.50,18.50
3,Green Bay Packers,195.00,107.00,302.00,121.00,169.00,290.00,10.00,22.00
15,Kansas City Chiefs,207.00,78.00,285.00,208.00,143.67,351.67,25.67,27.67
8,Tampa Bay Buccaneers,183.00,101.00,284.00,268.00,82.00,350.00,20.00,23.00
21,Pittsburgh Steelers,251.00,29.00,280.00,165.00,299.00,464.00,14.00,28.00
4,Minnesota Vikings,163.00,106.00,269.00,202.00,90.00,292.00,9.00,27.00
17,Los Angeles Chargers,211.00,50.00,261.00,261.00,168.00,429.00,12.00,32.00
14,Denver Broncos,145.00,79.00,224.00,261.00,210.00,471.00,7.00,31.00
