dataforfid,known_as,offpass,offrush,offtotyds,defpass,defrush,deftotyds,pf,pa
18,Baltimore Ravens,237.35,187.59,424.94,244.12,80.06,324.18,30.47,21.24
2,Detroit Lions,253.24,146.35,409.53,238.12,98.35,342.35,33.18,20.12
8,Tampa Bay Buccaneers,243.59,149.12,399.53,237.82,97.82,341.76,29.53,22.65
56,San Francisco 49ers,238.06,127.24,376.47,191.29,124.59,317.41,22.88,25.65
5,Atlanta Falcons,229.65,130.53,370.76,212.59,120.65,345.18,22.88,24.88
3,Green Bay Packers,217.76,146.82,370.47,205.24,99.35,314.53,27.06,19.88
34,Washington Commanders,215.59,154.06,369.65,189.82,137.12,326.94,28.53,23.00
1,Philadelphia Eagles,195.29,179.29,367.18,170.29,104.18,278.35,27.24,17.82
19,Cincinnati Bengals,256.18,92.59,365.53,222.88,124.82,348.29,27.76,25.53
9,Buffalo Bills,213.88,131.18,359.12,215.29,115.47,341.53,30.88,21.65
45,Arizona Cardinals,207.35,144.18,358.24,212.76,126.41,342.53,23.53,22.29
4,Minnesota Vikings,225.88,109.12,346.94,231.59,93.41,335.59,25.41,19.53
24,Indianapolis Colts,197.71,137.12,334.82,229.35,131.82,361.18,22.18,25.12
67,Seattle Seahawks,233.12,95.71,332.18,206.18,120.76,333.65,22.06,21.65
76,Los Angeles Rams,216.76,103.82,331.35,208.76,130.00,352.82,21.59,22.71
15,Kansas City Chiefs,216.12,105.29,327.65,212.94,101.82,320.65,22.65,19.18
12,Dallas Cowboys,226.59,100.29,327.47,201.35,137.12,355.24,20.59,27.53
10,Miami Dolphins,202.94,105.59,325.41,196.82,103.71,314.41,20.29,21.41
14,Denver Broncos,212.35,112.24,324.59,220.71,96.41,317.12,25.00,18.29
17,Los Angeles Chargers,207.71,110.71,324.29,200.65,117.47,324.35,23.65,17.71
7,New Orleans Saints,198.82,114.94,320.12,232.59,141.41,379.94,19.88,23.41
22,Houston Texans,207.41,112.29,319.71,201.00,114.00,315.00,21.88,21.88
21,Pittsburgh Steelers,190.41,127.41,319.41,222.71,98.71,326.82,22.35,20.41
13,New York Jets,204.59,91.82,310.29,175.76,121.06,313.71,19.88,23.76
25,Jacksonville Jaguars,195.76,101.71,306.24,256.18,132.59,389.94,18.82,25.59
26,Tennessee Titans,193.94,109.12,304.24,168.53,133.94,311.24,18.29,27.06
16,Las Vegas Raiders,217.24,79.82,303.18,209.41,116.88,333.12,18.18,25.53
20,Cleveland Browns,200.82,94.59,300.82,210.82,129.71,342.12,15.18,25.59
6,Carolina Panthers,183.65,110.47,298.00,232.12,179.82,404.53,20.06,31.41
23,New York Giants,183.94,104.88,294.76,204.24,136.18,346.76,16.06,24.41
11,New England Patriots,176.18,115.76,291.94,211.53,131.35,342.88,17.00,24.53
77,Chicago Bears,180.35,101.65,283.53,206.76,136.29,354.24,18.24,21.76
